id,nombre,direccion,telefono,correo,nit,ciudad
1,Parisian Group,4 Oak Place,774-337-7930,mgigg0@webs.com,27-840-0497,Cadagmayan Norte
2,"Wintheiser, Hackett and Rodriguez",1 Tennyson Hill,573-992-2357,rfeechan1@cocolog-nifty.com,53-515-6985,Capâo Bonito
3,"Haag, Bechtelar and Labadie",446 Prairieview Pass,640-582-7548,mbringloe2@chronoengine.com,29-887-8865,Acacías
4,"Senger, Satterfield and Armstrong",8 Logan Park,613-856-8540,cyashaev3@angelfire.com,46-278-5253,Touzao
5,Sanford Inc,17 Schlimgen Center,121-406-9320,deustanch4@gravatar.com,87-273-6167,Nueva Ocotepeque
6,Johnson and Sons,52 Emmet Road,814-904-5870,bregardsoe5@i2i.jp,21-261-2536,Zhili
7,"Rolfson, Rath and Ferry",993 Talisman Alley,237-211-5986,iatkinson6@wordpress.com,17-764-0084,Xibing
8,"Ruecker, Flatley and Berge",00451 Hudson Point,940-415-0597,cfackney7@arizona.edu,51-380-9025,Emiliano Zapata
9,Dare and Sons,120 Bluestem Junction,587-719-6992,tapplewhaite8@webeden.co.uk,78-442-3941,Taoyang
10,Braun LLC,6467 Columbus Junction,223-571-5287,rlambswood9@fc2.com,99-940-5502,Shtip
11,"Jacobs, Nicolas and Jerde",34306 Bartillon Parkway,583-195-4031,wkochlina@goodreads.com,29-686-5081,Quảng Ngãi
12,"Brakus, Kulas and Franecki",75 Continental Terrace,370-577-5648,ghubatschb@globo.com,76-569-5607,Yaypan
13,Adams-Kuphal,1786 John Wall Terrace,807-967-9302,bdunstanc@bloglovin.com,07-057-3217,Churubamba
14,"Johnson, Jacobi and Moore",17432 Elka Drive,307-776-8576,mbalsomd@hugedomains.com,71-411-2890,Nariño
15,Sporer LLC,9 Judy Point,480-652-4520,pquembye@multiply.com,50-614-9833,Makariv
16,Schultz Group,29 Marquette Drive,455-372-1427,tmckinnonf@freewebs.com,73-689-2800,Ajaccio
17,"Ernser, Kling and Hammes",25366 Leroy Lane,607-896-0158,npenwardeng@qq.com,78-131-0719,Likhovskoy
18,"Trantow, Pfeffer and Streich",3938 Daystar Avenue,470-243-4873,wtorransh@wsj.com,36-903-7884,Sim
19,Larson Inc,399 2nd Parkway,419-958-1604,esummerbelli@sciencedaily.com,93-841-0474,Jingu
20,Zemlak-Ruecker,23976 Muir Drive,990-163-3894,grignoldesj@google.com,21-580-0818,Pushkino
